Investment date	Name	Invested	Description	Amount of splints	Value
6/24/2025	Kobe Bryant 1999-00 UD Game Jersey Super Patch 1of25 UD1 BGS 8.5	€ 50.00	 Baseball 	1	€ 50.00
6/25/2025	Sealed Base Set 1st Edition Italian Booster Box	€ 50.00	 Pokemon 	1	€ 50.00
6/27/2025	Winston Branch, Untitled, 1993	€ 50.00	 Art 	1	€ 50.00
6/30/2025	Tracey Emin, I Did Not Say... (3 of 3), 2012	€ 50.00	 Art 	1	€ 50.00
7/10/2025	Patrick Mahomes 2017 Immaculate Rooke Patch Auto Nameplate Nobility 4of7 BGS 8.5 + 10 Auto	€ 50.00	 Baseball 	1	€ 50.00
7/12/2025	Touils, Al Fateh Masjid, Bahrain, 2025	€ 50.00	 Art 	1	€ 50.00
7/15/2025	Jason Boyd Kinsella, Jodie, 2023	€ 50.00	 Art 	1	€ 50.00
7/20/2025	Touils, Katara Masjid, Doha, 2025	€ 50.00	 Art 	1	€ 50.00
7/28/2025	Mario & Luigi Pikachu (8 cards all PSA 10)	€ 50.00	 Pokemon 	1	€ 50.00
8/20/2025	Lamine Yamal 2023 Topps Inception Marks of Excellence Rookie Purple /10 PSA 9 + 10	€ 50.00	 Baseball 	1	€ 50.00
8/26/2025	Pokémon Legendary Collection Display	€ 50.00	 Pokemon 	1	€ 50.00
8/29/2025	Ángeles Agrela, Valeria, 2021	€ 50.00	 Art 	1	€ 50.00
8/31/2025	Feng Xiao-Min, Composition N°20.05.13, 2013	€ 50.00	 Art 	1	€ 50.00
9/2/2025	Kobe Bryant 2007 UD Chronology Timeless Memories 1/99 PSA 8 + 10 Auto	€ 50.00	 Baseball 	1	€ 50.00
9/3/2025	Pokémon Munch The Scream PSA 10 Set	€ 50.00	 Pokemon 	1	€ 50.00
9/3/2025	Pieter Obels, Chasing a Feeling, 2024	€ 50.00	 Art 	1	€ 50.00
9/9/2025	Tom Brady 2022 TriFroce Triple Prime Patch 1of1 BGS 9.5	€ 50.00	 Baseball 	1	€ 50.00
9/9/2025	Amanda Watt, Hockney’s View, 2022	€ 50.00	 Art 	1	€ 50.00
9/10/2025	Pokémon Roaring Skies 12 Booster Boxes	€ 50.00	 Pokemon 	1	€ 50.00
9/12/2025	Damien Hirst, Dead Head III, 2009	€ 100.00	 Art 	2	€ 50.00
5/1/2026	Josh Sperling, Untitled (Tondo 1), 2017	€ 50.00	 Art 	1	€ 50.00
